,name,matches,innings,overs,maidens,runs,wickets,best_bowling,average,economy,strike_rate,four_wkts,five_wkts,catches,stumps,season,team
96,DW Steyn,4,4,11,1,84,2,18-Jan,42,7.63,33,0,0,0,0,2019/2020,Islamabad United
96,DR Smith,5,1,0.2,0,6,0,-,-,18,-,0,0,1,0,2018/2019,Quetta Gladiators
96,Umaid Asif,12,12,46,0,323,13,23-Apr,24.84,7.02,21.2,1,0,2,0,2017/2018,Peshawar Zalmi
97,Shaheen Shah Afridi,13,13,52,0,394,20,30-Mar,19.7,7.57,15.6,0,0,7,0,2021/2022,Lahore Qalandars
97,Shadab Khan,11,11,39,0,325,9,14-Feb,36.11,8.33,26,0,0,3,0,2020/2021,Islamabad United
97,Tamim Iqbal,3,-,-,-,-,-,-,-,-,-,-,-,0,0,2019/2020,Lahore Qalandars
97,Sohaib Maqsood,5,1,1,0,8,0,-,-,8,-,0,0,1,0,2018/2019,Peshawar Zalmi
97,Umar Akmal,5,-,-,-,-,-,-,-,-,-,-,-,4,0,2017/2018,Lahore Qalandars
98,Shahid Afridi,3,3,11,0,119,3,27-Feb,39.66,10.81,22,0,0,0,0,2021/2022,Quetta Gladiators
98,Shaheen Shah Afridi,10,10,40,1,292,16,14-Mar,18.25,7.3,15,0,0,3,0,2020/2021,Lahore Qalandars
98,Umaid Asif,7,7,25,0,193,8,18-Feb,24.12,7.72,18.7,0,0,2,0,2019/2020,Karachi Kings
98,Sohail Akhtar,10,1,0.1,0,0,0,-,-,0,-,0,0,2,0,2018/2019,Lahore Qalandars
98,Umar Amin,6,-,-,-,-,-,-,-,-,-,-,-,2,0,2017/2018,Quetta Gladiators
99,Shahnawaz Dahani,11,11,36,0,336,17,19-Mar,19.76,9.33,12.7,0,0,7,0,2021/2022,Multan Sultans
99,Shahid Afridi,4,4,15,0,135,2,24-Feb,67.5,9,45,0,0,2,0,2020/2021,Multan Sultans
99,Umar Amin,1,-,-,-,-,-,-,-,-,-,-,-,2,0,2019/2020,Peshawar Zalmi
99,Sohail Khan,5,5,18,0,192,2,Feb-57,96,10.66,54,0,0,1,0,2018/2019,Karachi Kings
99,Umar Gul,2,2,8,0,50,8,24-Jun,6.25,6.25,6,0,1,0,0,2017/2018,Multan Sultans
100,Shan Masood,12,-,-,-,-,-,-,-,-,-,-,-,7,0,2021/2022,Multan Sultans
100,Shahnawaz Dahani,11,11,40.2,1,340,20,5-Apr,17,8.42,12.1,2,0,2,0,2020/2021,Multan Sultans
100,Umer Khan,6,5,17,0,155,4,22-Jan,38.75,9.11,25.5,0,0,0,0,2019/2020,Karachi Kings
100,Sohail Tanvir,12,12,47,1,326,15,21-Apr,21.73,6.93,18.8,1,0,5,0,2018/2019,Quetta Gladiators
