,name,matches,innings,not_out,runs,high_score,average,ball_faced,strike_rate,hundreds,fifties,zeros,fours,sixes,season,team
4,Amad Butt,5,1,1,13,13*,-,14,92.85,0,0,0,1,0,2017/2018,Islamabad United
5,Anwar Ali,11,8,2,66,28*,11.00,48,137.50,0,0,0,4,4,2017/2018,Quetta Gladiators
6,JC Archer,2,1,0,5,5,5.00,4,125.00,0,0,0,1,0,2017/2018,Quetta Gladiators
7,Asad Shafiq,8,8,1,116,38*,16.57,116,100.00,0,0,1,13,3,2017/2018,Quetta Gladiators
8,Asif Ali,12,11,4,213,45,30.42,126,169.04,0,0,0,13,16,2017/2018,Islamabad United
9,Babar Azam,12,11,1,402,66,40.20,329,122.18,0,5,2,33,12,2017/2018,Karachi Kings
10,Bilal Asif,1,-,-,-,-,-,-,-,-,-,-,-,-,2017/2018,Lahore Qalandars
11,RS Bopara,10,8,4,123,50*,30.75,110,111.81,0,1,1,10,2,2017/2018,Karachi Kings
12,DM Bravo,5,2,1,15,9*,15.00,13,115.38,0,0,0,1,1,2017/2018,Multan Sultans
13,Danish Aziz,1,-,-,-,-,-,-,-,-,-,-,-,-,2017/2018,Karachi Kings
14,LA Dawson,9,7,0,145,62,20.71,108,134.25,0,1,0,7,9,2017/2018,Peshawar Zalmi
15,CS Delport,2,2,0,18,15,9.00,12,150.00,0,0,0,0,2,2017/2018,Lahore Qalandars
16,JL Denly,12,11,1,323,79*,32.30,257,125.68,0,3,1,40,9,2017/2018,Karachi Kings
17,AP Devcich,5,5,0,196,70,39.20,124,158.06,0,2,0,18,11,2017/2018,Lahore Qalandars
18,JP Duminy,10,9,2,251,73*,35.85,249,100.80,0,2,0,22,8,2017/2018,Islamabad United
19,Faheem Ashraf,12,8,4,111,54*,27.75,85,130.58,0,1,1,8,6,2017/2018,Islamabad United
20,Fakhar Zaman,10,10,0,277,94,27.70,188,147.34,0,1,1,23,16,2017/2018,Lahore Qalandars
21,ST Finn,5,1,0,0,0,0.00,1,0.00,0,0,1,0,0,2017/2018,Islamabad United
22,ADS Fletcher,5,5,0,86,34,17.20,72,119.44,0,0,0,8,4,2017/2018,Peshawar Zalmi
23,Gulraiz Sadaf,5,5,2,110,42*,36.66,121,90.90,0,0,0,8,3,2017/2018,Lahore Qalandars
24,AD Hales,4,4,0,87,46,21.75,65,133.84,0,0,0,11,2,2017/2018,Islamabad United
25,Hammad Azam,2,2,1,3,3*,3.00,4,75.00,0,0,1,0,0,2017/2018,Peshawar Zalmi
26,Haris Sohail,3,3,0,19,14,6.33,26,73.07,0,0,0,0,1,2017/2018,Peshawar Zalmi
27,Hasan Ali,9,5,1,28,15,7.00,21,133.33,0,0,0,2,1,2017/2018,Peshawar Zalmi
28,Hassan Khan,11,6,4,42,17*,21.00,30,140.00,0,0,2,0,2,2017/2018,Quetta Gladiators
29,JW Hastings,3,2,1,5,5*,5.00,8,62.50,0,0,1,1,0,2017/2018,Quetta Gladiators
30,Hussain Talat,12,10,4,201,48*,33.50,153,131.37,0,0,0,14,9,2017/2018,Islamabad United
31,Ibtisam Sheikh,4,2,1,2,2,2.00,6,33.33,0,0,0,0,0,2017/2018,Peshawar Zalmi
32,Iftikhar Ahmed,1,1,0,9,9,9.00,15,60.00,0,0,0,1,0,2017/2018,Islamabad United
33,Imad Wasim,8,6,2,69,35,17.25,56,123.21,0,0,0,4,3,2017/2018,Karachi Kings
34,Imran Khan,1,-,-,-,-,-,-,-,-,-,-,-,-,2017/2018,Lahore Qalandars
35,Imran Tahir,10,4,2,13,7*,6.50,23,56.52,0,0,0,1,0,2017/2018,Multan Sultans
36,CA Ingram,12,11,4,243,68*,34.71,173,140.46,0,1,1,15,16,2017/2018,Karachi Kings
37,CJ Jordan,5,4,2,38,36,19.00,34,111.76,0,0,0,1,3,2017/2018,Peshawar Zalmi
38,Junaid Khan,8,3,1,4,2*,2.00,7,57.14,0,0,0,0,0,2017/2018,Multan Sultans
39,Kamran Akmal,13,13,2,425,107*,38.63,277,153.42,1,4,3,41,28,2017/2018,Peshawar Zalmi
40,Khalid Usman,2,1,1,7,7*,-,9,77.77,0,0,0,0,0,2017/2018,Peshawar Zalmi
41,Khurram Manzoor,7,6,0,121,51,20.16,122,99.18,0,1,0,12,2,2017/2018,Karachi Kings
42,Khushdil Shah,2,2,0,12,8,6.00,18,66.66,0,0,0,1,0,2017/2018,Peshawar Zalmi
43,T Kohler-Cadmore,1,1,0,5,5,5.00,5,100.00,0,0,0,1,0,2017/2018,Quetta Gladiators
44,B Laughlin,3,1,1,3,3*,-,2,150.00,0,0,0,0,0,2017/2018,Quetta Gladiators
45,MJ McClenaghan,4,1,0,4,4,4.00,2,200.00,0,0,0,1,0,2017/2018,Lahore Qalandars
46,BB McCullum,10,10,2,218,44,27.25,197,110.65,0,0,1,14,13,2017/2018,Lahore Qalandars
47,Mahmudullah,3,2,0,34,19,17.00,33,103.03,0,0,0,3,1,2017/2018,Quetta Gladiators
48,TS Mills,8,1,1,5,5*,-,2,250.00,0,0,0,1,0,2017/2018,Karachi Kings
49,Mir Hamza,3,1,0,0,0,0.00,1,0.00,0,0,1,0,0,2017/2018,Quetta Gladiators
50,Misbah-ul-Haq,8,4,1,57,22,19.00,76,75.00,0,0,0,5,1,2017/2018,Islamabad United
51,Mohammad Amir,11,2,2,6,6*,-,7,85.71,0,0,0,1,0,2017/2018,Karachi Kings
52,Mohammad Asghar,5,1,1,0,0*,-,2,0.00,0,0,0,0,0,2017/2018,Peshawar Zalmi
53,Mohammad Hafeez,13,12,1,298,59,27.09,258,115.50,0,2,1,27,11,2017/2018,Peshawar Zalmi
54,Mohammad Irfan,10,4,0,8,6,2.00,14,57.14,0,0,2,1,0,2017/2018,Multan Sultans
55,Mohammad Irfan,11,5,3,17,16*,8.50,15,113.33,0,0,2,1,1,2017/2018,Karachi Kings
56,Mohammad Nawaz,11,8,2,127,35,21.16,123,103.25,0,0,0,10,6,2017/2018,Quetta Gladiators
57,Mohammad Rizwan,12,6,2,88,26*,22.00,75,117.33,0,0,0,5,2,2017/2018,Karachi Kings
58,Mohammad Sami,11,2,1,6,6,6.00,10,60.00,0,0,0,0,0,2017/2018,Islamabad United
59,EJG Morgan,3,3,0,28,21,9.33,29,96.55,0,0,0,3,0,2017/2018,Karachi Kings
60,Mukhtar Ahmed,1,1,0,1,1,1.00,3,33.33,0,0,0,0,0,2017/2018,Karachi Kings
61,Mustafizur Rahman,5,5,4,1,1*,1.00,9,11.11,0,0,1,0,0,2017/2018,Lahore Qalandars
62,SP Narine,9,8,1,98,28,14.00,66,148.48,0,0,1,11,4,2017/2018,Lahore Qalandars
63,SR Patel,9,4,1,56,23,18.66,54,103.70,0,0,0,8,0,2017/2018,Islamabad United
64,NLTC Perera,1,1,0,12,12,12.00,11,109.09,0,0,0,0,1,2017/2018,Quetta Gladiators
65,KP Pietersen,9,8,0,155,52,19.37,115,134.78,0,1,0,13,7,2017/2018,Quetta Gladiators
66,KA Pollard,10,8,3,165,73,33.00,110,150.00,0,1,1,14,10,2017/2018,Multan Sultans
67,Rahat Ali,11,1,0,0,0,0.00,1,0.00,0,0,1,0,0,2017/2018,Quetta Gladiators
68,D Ramdin,4,4,0,24,11,6.00,47,51.06,0,0,1,0,0,2017/2018,Lahore Qalandars
69,Rameez Raja,5,5,1,40,22,10.00,33,121.21,0,0,0,2,2,2017/2018,Quetta Gladiators
70,Raza Hasan,2,2,0,4,4,2.00,12,33.33,0,0,1,0,0,2017/2018,Lahore Qalandars
71,L Ronchi,11,11,1,435,94*,43.50,239,182.00,0,5,2,51,24,2017/2018,Islamabad United
72,RR Rossouw,10,9,2,200,42,28.57,161,124.22,0,0,0,10,12,2017/2018,Quetta Gladiators
73,JJ Roy,2,2,0,53,36,26.50,48,110.41,0,0,0,5,3,2017/2018,Quetta Gladiators
74,Rumman Raees,3,1,1,11,11*,-,10,110.00,0,0,0,2,0,2017/2018,Islamabad United
75,AD Russell,4,3,0,26,15,8.66,20,130.00,0,0,1,2,1,2017/2018,Islamabad United
76,Saad Nasim,5,5,1,65,35,16.25,47,138.29,0,0,0,7,3,2017/2018,Peshawar Zalmi
77,Sabbir Rahman,2,1,0,11,11,11.00,11,100.00,0,0,0,1,0,2017/2018,Peshawar Zalmi
78,Sahibzada Farhan,6,5,1,91,44,22.75,78,116.66,0,0,0,7,4,2017/2018,Islamabad United
79,Saif Badar,10,4,0,21,13,5.25,23,91.30,0,0,2,1,1,2017/2018,Multan Sultans
80,Salman Irshad,3,3,0,8,6,2.66,6,133.33,0,0,0,0,1,2017/2018,Lahore Qalandars
81,Sameen Gul,8,2,2,3,2*,-,6,50.00,0,0,0,0,0,2017/2018,Peshawar Zalmi
82,DJG Sammy,11,10,3,159,36*,22.71,87,182.75,0,0,1,13,13,2017/2018,Peshawar Zalmi
83,KC Sangakkara,10,9,1,269,63,33.62,215,125.11,0,3,1,27,10,2017/2018,Multan Sultans
84,Sarfraz Ahmed,11,9,3,223,45*,37.16,172,129.65,0,0,0,20,5,2017/2018,Quetta Gladiators
85,Shadab Khan,12,8,0,65,32,8.12,63,103.17,0,0,1,3,3,2017/2018,Islamabad United
86,Shaheen Shah Afridi,7,3,0,1,1,0.33,9,11.11,0,0,2,0,0,2017/2018,Lahore Qalandars
87,Shahid Afridi,9,6,1,47,26,9.40,31,151.61,0,0,0,0,6,2017/2018,Karachi Kings
88,Shoaib Malik,10,8,2,224,65*,37.33,180,124.44,0,1,0,11,10,2017/2018,Multan Sultans
89,LMP Simmons,2,2,0,59,55,29.50,52,113.46,0,1,0,8,1,2017/2018,Karachi Kings
90,DR Smith,10,9,1,252,71*,31.50,199,126.63,0,1,0,20,16,2017/2018,Peshawar Zalmi
91,Sohaib Maqsood,10,9,2,204,85*,29.14,160,127.50,0,1,0,16,11,2017/2018,Multan Sultans
92,Sohail Akhtar,9,8,4,122,30*,30.50,101,120.79,0,0,0,9,7,2017/2018,Lahore Qalandars
93,Sohail Khan,7,5,1,14,9*,3.50,28,50.00,0,0,2,0,1,2017/2018,Lahore Qalandars
94,Sohail Tanvir,10,6,2,75,34*,18.75,61,122.95,0,0,0,5,5,2017/2018,Multan Sultans
95,Tamim Iqbal,6,6,1,161,39,32.20,154,104.54,0,0,0,18,3,2017/2018,Peshawar Zalmi
96,Umaid Asif,12,5,1,39,25,9.75,29,134.48,0,0,1,2,3,2017/2018,Peshawar Zalmi
97,Umar Akmal,5,5,0,57,31,11.40,57,100.00,0,0,0,6,1,2017/2018,Lahore Qalandars
98,Umar Amin,6,6,1,97,31,19.40,96,101.04,0,0,0,9,1,2017/2018,Quetta Gladiators
99,Umar Gul,2,1,0,10,10,10.00,6,166.66,0,0,0,0,1,2017/2018,Multan Sultans
100,Usama Mir,2,1,0,9,9,9.00,11,81.81,0,0,0,1,0,2017/2018,Karachi Kings
101,Usman Shinwari,10,-,-,-,-,-,-,-,-,-,-,-,-,2017/2018,Karachi Kings
102,GC Viljoen,2,1,0,2,2,2.00,7,28.57,0,0,0,0,0,2017/2018,Multan Sultans
103,Wahab Riaz,13,7,3,97,33*,24.25,59,164.40,0,0,1,12,2,2017/2018,Peshawar Zalmi
104,CAK Walton,5,5,0,68,28,13.60,55,123.63,0,0,1,8,2,2017/2018,Islamabad United
105,SR Watson,10,10,1,319,90*,35.44,236,135.16,0,2,0,25,22,2017/2018,Quetta Gladiators
106,MH Wessels,4,4,1,68,31*,22.66,62,109.67,0,0,0,8,1,2017/2018,Peshawar Zalmi
107,RA Whiteley,3,3,0,27,16,9.00,26,103.84,0,0,1,1,1,2017/2018,Multan Sultans
108,D Wiese,1,1,0,5,5,5.00,6,83.33,0,0,0,1,0,2017/2018,Karachi Kings
109,Yasir Shah,10,5,0,11,6,2.20,18,61.11,0,0,2,1,0,2017/2018,Lahore Qalandars
110,Zafar Gohar,2,1,0,3,3,3.00,7,42.85,0,0,0,0,0,2017/2018,Islamabad United
0,Aamer Yamin,3,2,0,25,25,12.50,26,96.15,0,0,1,2,2,2016/2017,Lahore Qalandars
1,Abrar Ahmed,2,-,-,-,-,-,-,-,-,-,-,-,-,2016/2017,Karachi Kings
2,Ahmed Shehzad,10,9,0,242,71,26.88,183,132.24,0,3,1,22,10,2016/2017,Quetta Gladiators
3,Amad Butt,4,3,1,25,17,12.50,25,100.00,0,0,0,2,1,2016/2017,Islamabad United
4,Anamul Haque,1,1,0,3,3,3.00,9,33.33,0,0,0,0,0,2016/2017,Quetta Gladiators
5,Anwar Ali,9,5,2,57,20,19.00,44,129.54,0,0,0,6,1,2016/2017,Quetta Gladiators
6,Asad Shafiq,7,6,0,147,51,24.50,135,108.88,0,1,0,17,1,2016/2017,Quetta Gladiators
7,Asif Ali,4,4,0,46,39,11.50,43,106.97,0,0,0,4,1,2016/2017,Islamabad United
8,Babar Azam,10,10,1,291,50,32.33,259,112.35,0,1,0,36,4,2016/2017,Karachi Kings
9,S Badree,1,-,-,-,-,-,-,-,-,-,-,-,-,2016/2017,Islamabad United
10,Bilawal Bhatti,5,2,0,2,1,1.00,7,28.57,0,0,0,0,0,2016/2017,Lahore Qalandars
11,SW Billings,5,5,2,133,78*,44.33,98,135.71,0,1,1,14,4,2016/2017,Islamabad United
12,RS Bopara,10,10,1,119,33,13.22,123,96.74,0,0,0,12,2,2016/2017,Karachi Kings
13,CS Delport,4,4,1,82,35*,27.33,56,146.42,0,0,0,9,3,2016/2017,Lahore Qalandars
14,BM Duckett,2,2,0,30,16,15.00,34,88.23,0,0,0,4,0,2016/2017,Islamabad United
15,GD Elliott,7,7,1,74,26*,12.33,79,93.67,0,0,2,5,1,2016/2017,Lahore Qalandars
16,RR Emrit,1,1,1,6,6*,-,9,66.66,0,0,0,0,0,2016/2017,Quetta Gladiators
17,SM Ervine,1,1,0,24,24,24.00,19,126.31,0,0,0,2,0,2016/2017,Quetta Gladiators
18,Fakhar Zaman,8,8,0,177,56,22.12,128,138.28,0,1,1,19,6,2016/2017,Lahore Qalandars
19,CH Gayle,9,9,0,160,44,17.77,139,115.10,0,0,0,8,14,2016/2017,Karachi Kings
20,Ghulam Mudassar,1,1,1,1,1*,-,1,100.00,0,0,0,0,0,2016/2017,Lahore Qalandars
21,BJ Haddin,9,9,0,139,73,15.44,114,121.92,0,1,1,13,4,2016/2017,Islamabad United
22,Haris Sohail,3,3,1,31,13*,15.50,44,70.45,0,0,0,1,0,2016/2017,Peshawar Zalmi
23,Hasan Ali,11,5,2,23,10,7.66,11,209.09,0,0,1,4,1,2016/2017,Peshawar Zalmi
24,Hassan Khan,10,4,1,26,16,8.66,26,100.00,0,0,0,1,1,2016/2017,Quetta Gladiators
25,Hussain Talat,2,2,0,67,56,33.50,51,131.37,0,1,0,6,2,2016/2017,Islamabad United
26,Iftikhar Ahmed,3,3,0,15,14,5.00,25,60.00,0,0,1,1,0,2016/2017,Peshawar Zalmi
27,Imad Wasim,10,8,4,83,24,20.75,62,133.87,0,0,1,6,4,2016/2017,Karachi Kings
28,Imran Khalid,3,1,0,1,1,1.00,1,100.00,0,0,0,0,0,2016/2017,Islamabad United
29,Imran Khan,1,1,1,0,0*,-,0,-,0,0,0,0,0,2016/2017,Peshawar Zalmi
30,DPMD Jayawardene,1,1,0,10,10,10.00,8,125.00,0,0,0,1,0,2016/2017,Karachi Kings
31,CJ Jordan,6,4,3,26,16*,26.00,30,86.66,0,0,1,2,1,2016/2017,Peshawar Zalmi
32,Junaid Khan,3,2,2,1,1*,-,2,50.00,0,0,0,0,0,2016/2017,Peshawar Zalmi
33,Kamran Akmal,11,11,0,353,104,32.09,273,129.30,1,2,2,32,16,2016/2017,Peshawar Zalmi
34,Kashif Bhatti,1,-,-,-,-,-,-,-,-,-,-,-,-,2016/2017,Karachi Kings
35,Khushdil Shah,2,1,0,1,1,1.00,5,20.00,0,0,0,0,0,2016/2017,Peshawar Zalmi
36,BB McCullum,8,7,0,93,31,13.28,75,124.00,0,0,2,14,2,2016/2017,Lahore Qalandars
37,Mahmudullah,6,3,2,37,29*,37.00,26,142.30,0,0,1,3,1,2016/2017,Quetta Gladiators
38,DJ Malan,6,6,0,175,56,29.16,126,138.88,0,1,0,21,6,2016/2017,Peshawar Zalmi
39,TS Mills,5,2,1,1,1*,1.00,2,50.00,0,0,1,0,0,2016/2017,Quetta Gladiators
40,Mir Hamza,1,-,-,-,-,-,-,-,-,-,-,-,-,2016/2017,Quetta Gladiators
41,Misbah-ul-Haq,9,8,1,158,61*,22.57,142,111.26,0,1,0,7,9,2016/2017,Islamabad United
42,Mohammad Amir,10,4,4,24,11*,-,18,133.33,0,0,0,2,1,2016/2017,Karachi Kings
43,Mohammad Asghar,7,-,-,-,-,-,-,-,-,-,-,-,-,2016/2017,Peshawar Zalmi
44,Mohammad Hafeez,10,9,0,153,77,17.00,154,99.35,0,1,2,15,6,2016/2017,Peshawar Zalmi
45,Mohammad Irfan,8,1,1,0,0*,-,2,0.00,0,0,0,0,0,2016/2017,Islamabad United
46,Mohammad Irfan,7,4,1,4,3*,1.33,6,66.66,0,0,2,0,0,2016/2017,Lahore Qalandars
47,Mohammad Nawaz,10,4,1,20,18,6.66,17,117.64,0,0,1,0,1,2016/2017,Quetta Gladiators
48,Mohammad Rizwan,8,7,2,130,46*,26.00,107,121.49,0,0,0,9,5,2016/2017,Lahore Qalandars
49,Mohammad Sami,9,5,2,2,1*,0.66,4,50.00,0,0,2,0,0,2016/2017,Islamabad United
50,EJG Morgan,6,6,1,136,80*,27.20,131,103.81,0,1,0,14,4,2016/2017,Peshawar Zalmi
51,SP Narine,8,7,1,116,26*,19.33,64,181.25,0,0,0,6,11,2016/2017,Lahore Qalandars
52,NLTC Perera,6,4,1,40,27,13.33,34,117.64,0,0,0,3,1,2016/2017,Quetta Gladiators
53,KP Pietersen,9,8,1,241,88*,34.42,159,151.57,0,2,3,15,14,2016/2017,Quetta Gladiators
54,KA Pollard,10,9,4,201,47,40.20,117,171.79,0,0,0,15,11,2016/2017,Karachi Kings
55,N Pooran,1,1,0,1,1,1.00,3,33.33,0,0,0,0,0,2016/2017,Islamabad United
56,Rafatullah Mohmand,3,3,0,46,18,15.33,37,124.32,0,0,0,2,4,2016/2017,Islamabad United
57,RR Rossouw,9,8,2,255,76*,42.50,207,123.18,0,2,0,18,9,2016/2017,Quetta Gladiators
58,JJ Roy,5,5,1,173,60*,43.25,114,151.75,0,2,0,21,6,2016/2017,Lahore Qalandars
59,Rumman Raees,7,1,0,0,0,0.00,4,0.00,0,0,1,0,0,2016/2017,Islamabad United
60,Saad Nasim,3,3,0,18,9,6.00,16,112.50,0,0,0,2,0,2016/2017,Quetta Gladiators
61,Saeed Ajmal,4,-,-,-,-,-,-,-,-,-,-,-,-,2016/2017,Islamabad United
62,DJG Sammy,11,9,4,120,34,24.00,93,129.03,0,0,1,7,8,2016/2017,Peshawar Zalmi
63,MN Samuels,5,5,1,81,37*,20.25,67,120.89,0,0,0,5,3,2016/2017,Peshawar Zalmi
64,KC Sangakkara,10,10,0,215,65,21.50,181,118.78,0,1,0,20,5,2016/2017,Karachi Kings
65,Sarfraz Ahmed,10,9,2,183,56*,26.14,139,131.65,0,1,0,15,5,2016/2017,Quetta Gladiators
66,Shadab Khan,8,7,3,66,42,16.50,41,160.97,0,0,0,2,5,2016/2017,Islamabad United
67,Shahid Afridi,10,8,1,177,54,25.28,102,173.52,0,1,1,9,15,2016/2017,Peshawar Zalmi
68,Shahzaib Hasan,2,2,0,19,19,9.50,16,118.75,0,0,1,3,0,2016/2017,Karachi Kings
69,Shakib Al Hasan,5,4,0,54,30,13.50,48,112.50,0,0,0,5,1,2016/2017,Peshawar Zalmi
70,Sharjeel Khan,1,1,0,1,1,1.00,4,25.00,0,0,0,0,0,2016/2017,Islamabad United
71,Shoaib Malik,10,10,1,202,51*,22.44,166,121.68,0,1,1,11,7,2016/2017,Karachi Kings
72,DR Smith,9,9,1,274,72*,34.25,242,113.22,0,2,1,29,10,2016/2017,Islamabad United
73,Sohaib Maqsood,6,5,1,35,30*,8.75,38,92.10,0,0,3,3,1,2016/2017,Peshawar Zalmi
74,Sohail Khan,9,5,2,16,10,5.33,14,114.28,0,0,1,0,1,2016/2017,Karachi Kings
75,Sohail Tanvir,8,6,3,68,36*,22.66,66,103.03,0,0,0,4,2,2016/2017,Lahore Qalandars
76,Tamim Iqbal,5,5,1,94,62*,23.50,81,116.04,0,1,0,8,4,2016/2017,Peshawar Zalmi
77,Umar Akmal,8,8,0,164,66,20.50,132,124.24,0,1,2,15,8,2016/2017,Lahore Qalandars
78,Umar Gul,2,1,0,2,2,2.00,3,66.66,0,0,0,0,0,2016/2017,Quetta Gladiators
79,Usama Mir,8,2,1,5,4*,5.00,3,166.66,0,0,0,1,0,2016/2017,Karachi Kings
80,Usman Shinwari,8,1,0,0,0,0.00,2,0.00,0,0,1,0,0,2016/2017,Karachi Kings
81,MN van Wyk,1,1,0,1,1,1.00,7,14.28,0,0,0,0,0,2016/2017,Quetta Gladiators
82,Wahab Riaz,10,6,2,31,23,7.75,37,83.78,0,0,1,3,1,2016/2017,Peshawar Zalmi
83,SR Watson,9,9,1,171,36,21.37,123,139.02,0,0,0,13,10,2016/2017,Islamabad United
84,LJ Wright,1,1,0,12,12,12.00,7,171.42,0,0,0,1,1,2016/2017,Quetta Gladiators
85,Yasir Shah,8,4,2,23,22,11.50,23,100.00,0,0,0,2,1,2016/2017,Lahore Qalandars
86,Zohaib Khan,1,-,-,-,-,-,-,-,-,-,-,-,-,2016/2017,Islamabad United
87,Zulfiqar Babar,8,2,0,1,1,0.50,3,33.33,0,0,1,0,0,2016/2017,Quetta Gladiators
0,Aamer Yamin,2,-,-,-,-,-,-,-,-,-,-,-,-,2015/2016,Peshawar Zalmi
1,Abdur Rehman,1,-,-,-,-,-,-,-,-,-,-,-,-,2015/2016,Peshawar Zalmi
2,Adnan Rasool,3,-,-,-,-,-,-,-,-,-,-,-,-,2015/2016,Lahore Qalandars
3,Ahmed Shehzad,10,10,0,290,71,29.00,202,143.56,0,2,0,36,8,2015/2016,Quetta Gladiators
4,Aizaz Cheema,4,1,1,0,0*,-,0,-,0,0,0,0,0,2015/2016,Quetta Gladiators
5,Akbar-ur-Rehman,7,3,0,15,11,5.00,19,78.94,0,0,0,1,0,2015/2016,Quetta Gladiators
6,J Allenby,2,2,0,38,31,19.00,40,95.00,0,0,0,5,0,2015/2016,Peshawar Zalmi
7,Anwar Ali,9,6,2,38,13,9.50,40,95.00,0,0,0,1,2,2015/2016,Quetta Gladiators
8,Asad Shafiq,1,1,0,16,16,16.00,15,106.66,0,0,0,1,1,2015/2016,Quetta Gladiators
9,Ashar Zaidi,3,2,0,8,6,4.00,16,50.00,0,0,0,0,0,2015/2016,Islamabad United
10,Asif Ali,6,3,1,34,31*,17.00,24,141.66,0,0,1,1,3,2015/2016,Islamabad United
11,Azhar Ali,7,7,0,183,61,26.14,172,106.39,0,1,0,22,3,2015/2016,Lahore Qalandars
12,Azhar Mahmood,2,2,2,14,12*,-,12,116.66,0,0,0,2,0,2015/2016,Islamabad United
13,Babar Azam,2,2,0,15,15,7.50,26,57.69,0,0,1,1,0,2015/2016,Islamabad United
14,S Badree,6,1,1,2,2*,-,2,100.00,0,0,0,0,0,2015/2016,Islamabad United
15,JM Bairstow,1,1,0,15,15,15.00,16,93.75,0,0,0,1,0,2015/2016,Peshawar Zalmi
16,Bilawal Bhatti,1,1,1,15,15*,-,9,166.66,0,0,0,1,1,2015/2016,Karachi Kings
17,SW Billings,5,4,0,34,26,8.50,30,113.33,0,0,0,2,1,2015/2016,Islamabad United
18,Bismillah Khan,3,3,0,55,55,18.33,35,157.14,0,1,2,10,1,2015/2016,Quetta Gladiators
19,RS Bopara,9,8,2,329,71*,54.83,249,132.12,0,2,0,21,11,2015/2016,Karachi Kings
20,DJ Bravo,8,8,3,111,32,22.20,98,113.26,0,0,1,9,2,2015/2016,Lahore Qalandars
21,E Chigumbura,5,3,1,10,7*,5.00,13,76.92,0,0,1,1,0,2015/2016,Quetta Gladiators
22,KK Cooper,7,4,2,10,10*,5.00,11,90.90,0,0,2,1,0,2015/2016,Lahore Qalandars
23,CS Delport,8,7,0,227,78,32.42,186,122.04,0,3,1,22,8,2015/2016,Lahore Qalandars
24,Ehsan Adil,5,-,-,-,-,-,-,-,-,-,-,-,-,2015/2016,Lahore Qalandars
25,GD Elliott,6,5,1,65,40,16.25,55,118.18,0,0,0,3,4,2015/2016,Quetta Gladiators
26,CH Gayle,5,5,0,103,60,20.60,68,151.47,0,1,2,7,8,2015/2016,Lahore Qalandars
27,BJ Haddin,8,8,4,188,61*,47.00,136,138.23,0,3,1,12,11,2015/2016,Islamabad United
28,Hammad Azam,3,3,2,18,18*,18.00,12,150.00,0,0,1,2,0,2015/2016,Lahore Qalandars
29,Hasan Ali,3,2,0,6,5,3.00,7,85.71,0,0,0,1,0,2015/2016,Peshawar Zalmi
30,BJ Hodge,4,4,2,93,85*,46.50,61,152.45,0,1,1,6,6,2015/2016,Peshawar Zalmi
31,Iftikhar Ahmed,4,3,1,27,19,13.50,34,79.41,0,0,0,2,0,2015/2016,Karachi Kings
32,Imad Wasim,8,7,0,48,29,6.85,34,141.17,0,0,3,7,1,2015/2016,Karachi Kings
33,Imran Khalid,9,4,0,38,18,9.50,42,90.47,0,0,0,1,2,2015/2016,Islamabad United
34,Imran Khan,1,-,-,-,-,-,-,-,-,-,-,-,-,2015/2016,Peshawar Zalmi
35,Junaid Khan,6,3,3,2,1*,-,5,40.00,0,0,0,0,0,2015/2016,Peshawar Zalmi
36,Kamran Akmal,10,9,0,151,45,16.77,147,102.72,0,0,0,12,5,2015/2016,Peshawar Zalmi
37,Kamran Ghulam,2,1,0,9,9,9.00,12,75.00,0,0,0,0,0,2015/2016,Islamabad United
38,Khalid Latif,9,7,1,206,59,34.33,173,119.07,0,1,0,11,9,2015/2016,Islamabad United
39,NL McCullum,2,2,1,1,1,1.00,4,25.00,0,0,0,0,0,2015/2016,Quetta Gladiators
40,DJ Malan,8,8,2,163,60*,27.16,169,96.44,0,1,0,11,5,2015/2016,Peshawar Zalmi
41,BAW Mendis,4,-,-,-,-,-,-,-,-,-,-,-,-,2015/2016,Lahore Qalandars
42,Mir Hamza,4,1,1,0,0*,-,0,-,0,0,0,0,0,2015/2016,Karachi Kings
43,Misbah-ul-Haq,9,7,2,166,41,33.20,131,126.71,0,0,0,21,3,2015/2016,Islamabad United
44,Mohammad Amir,7,3,3,10,5*,-,10,100.00,0,0,0,2,0,2015/2016,Karachi Kings
45,Mohammad Asghar,9,2,1,1,1*,1.00,3,33.33,0,0,1,0,0,2015/2016,Peshawar Zalmi
46,Mohammad Hafeez,10,10,0,220,59,22.00,179,122.90,0,1,0,26,8,2015/2016,Peshawar Zalmi
47,Mohammad Irfan,6,1,1,0,0*,-,1,0.00,0,0,0,0,0,2015/2016,Islamabad United
48,Mohammad Nabi,8,4,1,47,30*,15.66,37,127.02,0,0,0,4,2,2015/2016,Quetta Gladiators
49,Mohammad Nawaz,10,9,2,120,42,17.14,125,96.00,0,0,1,8,4,2015/2016,Quetta Gladiators
50,Mohammad Rizwan,8,5,1,103,50*,25.75,81,127.16,0,1,1,9,4,2015/2016,Lahore Qalandars
51,Mohammad Sami,7,2,2,23,20*,-,12,191.66,0,0,0,2,1,2015/2016,Islamabad United
52,Mushfiqur Rahim,3,3,1,49,33,24.50,39,125.64,0,0,0,4,1,2015/2016,Karachi Kings
53,Nauman Anwar,5,5,0,55,35,11.00,52,105.76,0,0,2,6,3,2015/2016,Karachi Kings
54,Naved Yasin,5,3,1,27,25,13.50,33,81.81,0,0,1,2,1,2015/2016,Lahore Qalandars
55,KP Pietersen,9,9,1,215,53,26.87,165,130.30,0,1,1,15,9,2015/2016,Quetta Gladiators
