,name,matches,innings,not_out,runs,high_score,average,ball_faced,strike_rate,hundreds,fifties,zeros,fours,sixes,season,team
77,C Munro,3,3,1,165,72*,82.50,117,141.02,0,2,0,8,9,2021/2022,Islamabad United
78,B Muzarabani,4,1,0,0,0,0.00,2,0.00,0,0,1,0,0,2021/2022,Multan Sultans
79,Naseem Shah,10,4,1,8,5*,2.66,13,61.53,0,0,1,1,0,2021/2022,Quetta Gladiators
80,Nasir Nawaz,1,1,0,14,14,14.00,17,82.35,0,0,0,0,0,2021/2022,Islamabad United
81,Noor Ahmad,4,3,1,21,13*,10.50,13,161.53,0,0,1,2,1,2021/2022,Quetta Gladiators
82,SR Patel,5,3,1,58,26*,29.00,47,123.40,0,0,0,6,1,2021/2022,Lahore Qalandars
83,Qasim Akram,5,4,1,99,51*,33.00,64,154.68,0,1,0,9,4,2021/2022,Karachi Kings
84,Rahmanullah Gurbaz,6,6,1,139,46,27.80,77,180.51,0,0,0,9,12,2021/2022,Islamabad United
85,Rashid Khan,9,5,4,55,22*,55.00,25,220.00,0,0,1,2,6,2021/2022,Lahore Qalandars
86,Rohail Nazir,3,3,0,47,21,15.66,36,130.55,0,0,0,7,0,2021/2022,Karachi Kings
87,RR Rossouw,11,10,3,275,71,39.28,164,167.68,0,3,1,25,14,2021/2022,Multan Sultans
88,JJ Roy,6,6,0,303,116,50.50,178,170.22,1,2,1,41,10,2021/2022,Quetta Gladiators
89,Rumman Raees,6,1,0,6,6,6.00,7,85.71,0,0,0,1,0,2021/2022,Multan Sultans
90,SE Rutherford,9,9,2,160,70*,22.85,113,141.59,0,1,1,16,8,2021/2022,Peshawar Zalmi
91,Sahibzada Farhan,5,5,1,51,25,12.75,50,102.00,0,0,1,6,1,2021/2022,Karachi Kings
92,Salman Irshad,8,2,1,3,2,3.00,6,50.00,0,0,0,0,0,2021/2022,Peshawar Zalmi
93,PD Salt,9,8,1,63,26*,9.00,55,114.54,0,0,0,5,2,2021/2022,Lahore Qalandars
94,Sameen Gul,1,-,-,-,-,-,-,-,-,-,-,-,-,2021/2022,Peshawar Zalmi
95,Sarfaraz Ahmed,10,7,3,152,50*,38.00,132,115.15,0,1,0,14,2,2021/2022,Quetta Gladiators
96,Shadab Khan,9,8,0,268,91,33.50,165,162.42,0,2,0,17,18,2021/2022,Islamabad United
97,Shaheen Shah Afridi,13,5,2,44,39*,14.66,28,157.14,0,0,1,3,4,2021/2022,Lahore Qalandars
98,Shahid Afridi,3,1,0,4,4,4.00,8,50.00,0,0,0,0,0,2021/2022,Quetta Gladiators
99,Shahnawaz Dahani,11,2,2,6,6*,-,9,66.66,0,0,0,1,0,2021/2022,Multan Sultans
100,Shan Masood,12,12,0,478,88,39.83,346,138.15,0,4,0,54,10,2021/2022,Multan Sultans
101,Sharjeel Khan,10,10,0,231,60,23.10,177,130.50,0,1,1,21,14,2021/2022,Karachi Kings
102,Shoaib Malik,11,11,2,401,58,44.55,292,137.32,0,3,0,31,14,2021/2022,Peshawar Zalmi
103,WCF Smeed,6,6,0,240,99,40.00,175,137.14,0,2,0,28,8,2021/2022,Quetta Gladiators
104,Sohaib Maqsood,7,7,1,139,30,23.16,126,110.31,0,0,0,11,6,2021/2022,Multan Sultans
105,Sohail Akhtar,2,2,0,34,19,17.00,28,121.42,0,0,0,2,2,2021/2022,Lahore Qalandars
106,Sohail Khan,2,-,-,-,-,-,-,-,-,-,-,-,-,2021/2022,Peshawar Zalmi
107,Sohail Tanvir,7,5,1,27,13,6.75,32,84.37,0,0,1,1,1,2021/2022,Quetta Gladiators
108,PR Stirling,6,6,0,200,58,33.33,113,176.99,0,2,0,24,10,2021/2022,Islamabad United
109,JA Thompson,2,1,0,0,0,0.00,1,0.00,0,0,1,0,0,2021/2022,Karachi Kings
110,Umaid Asif,8,3,2,12,10,12.00,14,85.71,0,0,0,2,0,2021/2022,Karachi Kings
111,Umar Akmal,5,5,0,101,50,20.20,58,174.13,0,1,0,5,10,2021/2022,Quetta Gladiators
112,Usman Qadir,7,4,3,25,12,25.00,15,166.66,0,0,0,1,2,2021/2022,Peshawar Zalmi
113,Usman Shinwari,3,3,2,15,8*,15.00,19,78.94,0,0,0,0,1,2021/2022,Karachi Kings
114,JM Vince,6,6,1,107,49*,21.40,91,117.58,0,0,3,11,2,2021/2022,Quetta Gladiators
115,Wahab Riaz,10,7,2,7,2*,1.40,17,41.17,0,0,2,0,0,2021/2022,Peshawar Zalmi
116,Waqas Maqsood,8,2,0,1,1,0.50,6,16.66,0,0,1,0,0,2021/2022,Islamabad United
117,D Wiese,13,11,5,168,31,28.00,91,184.61,0,0,1,8,12,2021/2022,Lahore Qalandars
118,DJ Willey,8,4,3,28,28*,28.00,33,84.84,0,0,1,1,1,2021/2022,Multan Sultans
119,L Wood,1,-,-,-,-,-,-,-,-,-,-,-,-,2021/2022,Quetta Gladiators
120,Yasir Khan,4,4,0,87,35,21.75,57,152.63,0,0,0,11,4,2021/2022,Peshawar Zalmi
121,Zafar Gohar,1,1,0,9,9,9.00,9,100.00,0,0,0,0,0,2021/2022,Islamabad United
122,Zahid Mahmood,2,1,1,3,3*,-,9,33.33,0,0,0,0,0,2021/2022,Islamabad United
123,Zahir Khan,2,1,1,0,0*,-,1,0.00,0,0,0,0,0,2021/2022,Islamabad United
124,Zaman Khan,13,3,3,1,1*,-,5,20.00,0,0,0,0,0,2021/2022,Lahore Qalandars
125,Zeeshan Ashraf,2,1,0,7,7,7.00,5,140.00,0,0,0,1,0,2021/2022,Lahore Qalandars
126,Zeeshan Zameer,2,-,-,-,-,-,-,-,-,-,-,-,-,2021/2022,Islamabad United
0,Aamer Yamin,4,1,0,0,0,0.00,2,0.00,0,0,1,0,0,2020/2021,Karachi Kings
1,Abbas Afridi,4,1,1,27,27*,-,18,150.00,0,0,0,1,3,2020/2021,Karachi Kings
2,Abdul Nasir,1,1,0,0,0,0.00,2,0.00,0,0,1,0,0,2020/2021,Quetta Gladiators
3,Abrar Ahmed,2,-,-,-,-,-,-,-,-,-,-,-,-,2020/2021,Peshawar Zalmi
4,Agha Salman,4,3,0,35,21,11.66,33,106.06,0,0,0,5,0,2020/2021,Lahore Qalandars
5,Ahmed Daniyal,10,4,2,10,6*,5.00,20,50.00,0,0,1,1,0,2020/2021,Lahore Qalandars
6,Akif Javed,5,2,2,0,0*,-,1,0.00,0,0,0,0,0,2020/2021,Islamabad United
7,Ali Khan,3,-,-,-,-,-,-,-,-,-,-,-,-,2020/2021,Islamabad United
8,FA Allen,3,3,1,3,3,1.50,6,50.00,0,0,1,0,0,2020/2021,Peshawar Zalmi
9,Amad Butt,4,3,2,57,27*,57.00,24,237.50,0,0,0,5,4,2020/2021,Peshawar Zalmi
10,Anwar Ali,1,1,1,1,1*,-,1,100.00,0,0,0,0,0,2020/2021,Quetta Gladiators
11,Arish Ali,1,-,-,-,-,-,-,-,-,-,-,-,-,2020/2021,Quetta Gladiators
12,Arshad Iqbal,9,1,1,0,0*,-,1,0.00,0,0,0,0,0,2020/2021,Karachi Kings
13,Asif Ali,12,10,2,224,75,28.00,134,167.16,0,1,0,15,18,2020/2021,Islamabad United
14,Azam Khan,10,10,0,174,47,17.40,130,133.84,0,0,1,18,7,2020/2021,Quetta Gladiators
15,Babar Azam,11,11,3,554,90*,69.25,418,132.53,0,7,1,56,12,2020/2021,Karachi Kings
16,T Banton,2,2,0,9,5,4.50,11,81.81,0,0,0,1,0,2020/2021,Quetta Gladiators
17,RS Bopara,2,2,1,108,58*,108.00,84,128.57,0,2,0,12,1,2020/2021,Peshawar Zalmi
18,CR Brathwaite,5,3,2,29,22*,29.00,20,145.00,0,0,0,3,1,2020/2021,Multan Sultans
