Player_bowling_id,matches,innings,overs,maidens,runs,wickets,best_bowling,average,economy,strike_rate,four_wkts,five_wkts,catches,stumps,Season_Id,Team_Id,Name,Player_Id
512,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,7,4,"Nasir Nawaz",173
513,4,4,15,0,113,4,44976,28.25,7.53,22.5,0,0,0,0,6,6,"Noor Ahmad",281
514,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,0,5,6,"Sherfane Rutherford",234
515,8,8,30,0,272,8,45012,34,8.96,22.7,0,0,2,0,4,4,"Rumman Raees",12
516,3,3,5,0,60,1,44945,60,12,30,0,0,0,0,3,2,"Salman Irshad",150
517,7,7,25,0,195,6,44984,32.5,7.8,25,0,0,1,0,2,6,"Usama Mir",31
518,7,7,25,0,195,6,44984,32.5,7.8,25,0,0,1,0,1,6,"Usama Mir",31
519,4,4,16,0,138,2,44950,69,8.62,48,0,0,1,0,7,5,"Noor Ahmad",281
520,4,2,5,0,53,2,44952,26.5,10.6,15,0,0,1,0,6,2,"Samit Patel",121
521,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,5,2,"Salman Butt",242
522,4,4,11,0,118,1,44951,118,10.72,66,0,0,2,0,4,1,"Andre Russell",13
523,8,8,28,0,204,6,44978,34,7.28,28,0,0,1,0,3,3,"Sameen Gul",159
524,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,0,2,6,"James Vince",32
525,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,0,1,6,"James Vince",32
526,5,5,12,0,101,1,44957,101,8.41,72,0,0,0,0,7,2,"Samit Patel",121
527,3,3,7,0,56,4,44967,14,8,10.5,0,0,0,0,6,6,"Thisara Perera",129
528,5,5,13,0,143,7,45046,20.42,11,11.1,1,0,0,0,5,2,"Salman Irshad",150
529,11,3,4,0,52,2,44978,26,11.14,14,0,0,5,0,3,3,"Daren Sammy",61
530,9,9,34,0,245,15,45002,16.33,7.13,13.7,0,0,1,0,2,3,"Wahab Riaz",66
531,9,9,34,0,245,15,45002,16.33,7.13,13.7,0,0,1,0,1,3,"Wahab Riaz",66
532,5,2,2,0,18,1,44933,18,9,12,0,0,4,0,7,6,"Qasim Akram",282
533,8,1,1,0,8,0,NULL,NULL,8,NULL,0,0,3,0,6,3,"Rovman Powell",301
