Player_Id,Name,Role,Batting_style,Bowling_style
45,"Yasir Shah",Bowler,"Right hand Bat","Legbreak Googly"
46,"Zafar Gohar",Bowler,"Left hand Bat","Slow Left arm Orthodox"
47,"Zia-ul-Haq ",,"Right hand Bat","Left arm Fast medium"
48,"Zohaib Khan",Allrounder,"Right hand Bat","Slow Left arm Orthodox"
49,"Aamer Yamin",Allrounder,"Right hand Bat","Right arm Medium"
50,"Abdur Rehman",Bowler,"Left hand Bat","Slow Left arm Orthodox"
51,"Jim Allenby",Allrounder,"Right hand Bat","Right arm Medium"
52,"Jonny Bairstow ","Wicketkeeper Batter","Right hand Bat","Right arm Medium"
53,"Hasan Ali",Bowler,"Right hand Bat","Right arm Medium fast"
54,"Imran Khan",Bowler,"Right hand Bat","Left arm Medium fast"
55,"Junaid Khan",Bowler,"Right hand Bat","Left arm Fast"
56,"Kamran Akmal","Wicketkeeper Batter","Right hand Bat",
57,"Dawid Malan","Top order Batter","Left hand Bat",Legbreak
58,"Mohammad Asghar",Bowler,"Right hand Bat","Slow Left arm Orthodox"
59,"Mohammad Hafeez",Allrounder,"Right hand Bat","Right arm Offbreak"
60,"Musadiq Ahmed",,"Right hand Bat",
61,"Daren Sammy",Allrounder,"Right hand Bat","Right arm Medium"
62,"Shahid Afridi",Allrounder,"Right hand Bat","Legbreak Googly"
63,"Shahid Yousuf",Batter,"Right hand Bat","Right arm Medium fast"
64,"Shaun Tait",Bowler,"Right hand Bat","Right arm Fast"
65,"Tamim Iqbal","Opening Batter","Left hand Bat",
66,"Wahab Riaz",Bowler,"Right hand Bat","Left arm Fast"
67,"Chris Jordan",Bowler,"Right hand Bat","Right arm Fast medium"
68,"Sarfaraz Ahmed","Wicketkeeper Batter","Right hand Bat","Right arm Offbreak"
69,"Ahmed Shehzad","Opening Batter","Right hand Bat",Legbreak
70,"Akbar-ur-Rehman ",Allrounder,"Right hand Bat","Legbreak Googly"
71,"Anwar Ali",Bowler,"Right hand Bat","Right arm Medium fast"
72,"Asad Shafiq","Middle order Batter","Right hand Bat","Right arm Offbreak"
73,"Bilal Asif",Allrounder,"Right hand Bat","Right arm Offbreak"
74,"Bismillah Khan ","Wicketkeeper Batter","Right hand Bat",
75,"Elton Chigumbura",Allrounder,"Right hand Bat","Right arm Fast medium"
76,"Mohammad Nabi",Allrounder,"Right hand Bat","Right arm Offbreak"
77,"Mohammad Nawaz",Allrounder,"Left hand Bat","Slow Left arm Orthodox"
78,"Kevin Pietersen","Top order Batter","Right hand Bat","Right arm Offbreak"
79,"Saad Nasim",Allrounder,"Right hand Bat",Legbreak
80,"Umar Gul",Bowler,"Right hand Bat","Right arm Fast medium"
81,"Luke Wright","Top order Batter","Right hand Bat","Right arm Medium"
82,"Zulfiqar Babar",Bowler,"Right hand Bat","Slow Left arm Orthodox"
83,"Jason Holder","Bowling Allrounder","Right hand Bat","Right arm Medium fast"
85,"Asif Ali","Middle order Batter","Right hand Bat","Right arm Offbreak"
86,"Ben Duckett","Top order Batter","Left hand Bat","Right arm Offbreak"
87,"Steven Finn",Bowler,"Right hand Bat","Right arm Fast medium"
88,"Hussain Talat",Allrounder,"Left hand Bat","Right arm Medium fast"
89,"Nicholas Pooran ","Wicketkeeper Batter","Left hand Bat","Right arm Offbreak"
90,"Saeed Ajmal",Bowler,"Right hand Bat","Right arm Offbreak"
91,"Shadab Khan",Allrounder,"Right hand Bat",Legbreak
92,"Dwayne Smith",Allrounder,"Right hand Bat","Right arm Medium"
93,"Kumar Sangakkara","Wicketkeeper Batter","Left hand Bat","Right arm Offbreak"
94,"Abrar Ahmed",Bowler,"Right hand Bat","Legbreak Googly"
95,"Hasan Mohsin","Middle order Batter","Right hand Bat","Right arm Medium"
96,"Mahela Jayawardene",Batter,"Right hand Bat","Right arm Medium"
97,"Kashif Bhatti",Allrounder,"Right hand Bat","Slow Left arm Orthodox"
98,"Khurram Manzoor","Opening Batter","Right hand Bat","Right arm Offbreak"
99,"Ryan McLaren",Allrounder,"Left hand Bat","Right arm Medium fast"
100,"Kieron Pollard","Batting Allrounder","Right hand Bat","Right arm Medium"
101,"Rahat Ali",Bowler,"Right hand Bat","Left arm Fast medium"
102,"Shahzaib Hasan","Opening Batter","Right hand Bat","Right arm Offbreak"
104,"Usman Shinwari",Bowler,"Right hand Bat","Left arm Medium fast"
105,"Brendon McCullum","Wicketkeeper Batter","Right hand Bat","Right arm Medium, Right arm Offbreak"
106,"Grant Elliott",Allrounder,"Right hand Bat","Right arm Medium"
107,"Fakhar Zaman","Opening Batter","Left hand Bat","Slow Left arm Orthodox"
108,"James Franklin",Allrounder,"Left hand Bat","Left arm Medium"
109,"Ghulam Mudassar",Bowler,"Right hand Bat","Left arm Fast medium"
110,"Chris Green","Bowling Allrounder","Right hand Bat","Right arm Offbreak"
111,"Sunil Narine","Bowling Allrounder","Left hand Bat","Right arm Offbreak"
112,"Jason Roy","Opening Batter","Right hand Bat",
113,"Saif Badar","Middle order Batter","Right hand Bat","Legbreak Googly"
114,"Usman Qadir",Bowler,"Left hand Bat",Legbreak
116,"Tillakaratne Dilshan",Allrounder,"Right hand Bat","Right arm Offbreak"
117,"Andre Fletcher","Top order Batter","Right hand Bat","Right arm Medium fast, Legbreak"
118,"Haris Sohail","Middle order Batter","Left hand Bat","Slow Left arm Orthodox"
119,"Khushdil Shah","Middle order Batter","Left hand Bat","Slow Left arm Orthodox"
120,"Eoin Morgan","Middle order Batter","Left hand Bat","Right arm Medium"
121,"Samit Patel",Allrounder,"Right hand Bat","Slow Left arm Orthodox"
122,"Marlon Samuels","Top order Batter","Right hand Bat","Right arm Offbreak"
123,"Sarfaraz Ahmed","Wicketkeeper Batter","Right hand Bat","Right arm Offbreak"
124,"Hassan Khan",Bowler,"Right hand Bat","Slow Left arm Orthodox"
125,"Mahmudullah ",Allrounder,"Right hand Bat","Right arm Offbreak"
126,"Nathan McCullum",Bowler,"Right hand Bat","Right arm Offbreak"
127,"Tymal Mills",Bowler,"Right hand Bat","Left arm Fast"
128,"Noor Wali",,"Right hand Bat","Right arm Medium"
129,"Thisara Perera","Bowling Allrounder","Left hand Bat","Right arm Medium fast"
130,"Rilee Rossouw","Top order Batter","Left hand Bat","Right arm Offbreak"
131,"Jean-Paul Duminy","Batting Allrounder","Left hand Bat","Right arm Offbreak"
132,"Faheem Ashraf","Bowling Allrounder","Left hand Bat","Right arm Medium"
133,"Alex Hales","Opening Batter","Right hand Bat","Right arm Medium"
134,"Mohammad Hasan","Middle order Batter","Right hand Bat",
135,"Rohail Nazir","Wicketkeeper Batter","Right hand Bat",
136,"Luke Ronchi ","Wicketkeeper Batter","Right hand Bat",
137,"Sahibzada Farhan","Middle order Batter","Right hand Bat",
138,"Chadwick Walton","Top order Batter","Right hand Bat",
139,"Joe Denly","Top order Batter","Right hand Bat",Legbreak
140,"Colin Ingram","Top order Batter","Left hand Bat",Legbreak
141,"Mohammad Taha",Allrounder,"Left hand Bat","Slow Left arm Orthodox"
142,"Tabish Khan",Bowler,"Right hand Bat","Right arm Fast medium"
143,"David Wiese",Allrounder,"Right hand Bat","Right arm Medium fast"
144,"Anton Devcich","Opening Batter","Left hand Bat","Slow Left arm Orthodox"
145,"Gulraiz Sadaf","Middle order Batter","Right hand Bat",
146,"Chris Lynn",Batter,"Right hand Bat","Slow Left arm Orthodox"
147,"Mitchell McClenaghan",Bowler,"Left hand Bat","Left arm Fast medium"
148,"Denesh Ramdin ","Wicketkeeper Batter","Right hand Bat",
149,"Raza Hasan",Bowler,"Right hand Bat","Slow Left arm Orthodox"
150,"Salman Irshad",Bowler,"Right hand Bat","Right arm Fast medium"
151,"Shaheen Shah",Bowler,"Left hand Bat","Left arm Fast"
152,"Sohail Akhtar",Allrounder,"Right hand Bat","Right arm Medium"
153,"Liam Dawson",Allrounder,"Right hand Bat","Slow Left arm Orthodox"
154,"Ibtisam Sheikh",Bowler,"Left hand Bat","Legbreak Googly"
155,"Khalid Usman","Bowling Allrounder","Right hand Bat","Slow Left arm Orthodox"
156,"Li Jian",,"Right hand Bat","Right arm Medium fast"
