Player_team_id,Season_Id,Team_Id,age,Player_id
339,4,6,"32y 145d",181
340,4,6,"24y 101d",2
341,4,6,"33y 265d",19
342,4,6,"31y 319d",182
343,4,6,"28y 143d",20
344,4,6,"33y 205d",140
345,4,6,"23y 325d",183
346,4,6,"25y 173d",184
347,4,6,"26y 286d",23
348,4,6,"26y 237d",40
349,4,6,"31y 319d",185
350,4,6,"32y 275d",186
351,4,6,"34y 324d",29
352,4,6,"22y 245d",187
353,4,6,"19y 172d",188
354,4,6,"23y 32d",31
355,4,6,"25y 19d",104
356,4,2,"38y 99d",189
357,4,2,"25y 62d",190
358,4,2,"39y 141d",191
359,4,2,"28y 42d",192
360,4,2,"30y 190d",193
361,4,2,"34y 341d",194
362,4,2,"33y 118d",144
363,4,2,"28y 289d",107
364,4,2,"29y 264d",195
365,4,2,"25y 78d",196
366,4,2,"30y 15d",118
367,4,2,"20y 100d",124
368,4,2,"18y 175d",197
369,4,2,"22y 30d",198
370,4,2,"30y 134d",101
371,4,2,"25y 111d",168
372,4,2,"18y 293d",151
373,4,2,"32y 328d",152
374,4,2,"32y 352d",199
375,4,2,"21y 48d",200
376,4,2,"29y 324d",201
377,4,2,"33y 251d",143
378,4,2,"32y 267d",45
379,4,3,"35y 35d",115
380,4,3,"28y 329d",153
381,4,3,"31y 57d",117
382,4,3,"24y 206d",53
383,4,3,"20y 314d",154
384,4,3,"28y 24d",202
385,4,3,"30y 112d",67
386,4,3,"37y 11d",56
387,4,3,"32y 329d",155
388,4,3,"35y 22d",203
389,4,3,"31y 143d",57
390,4,3,"44y 241d",9
391,4,3,"21y 111d",204
392,4,3,"31y 257d",100
393,4,3,"19y 354d",159
394,4,3,"31y 284d",43
395,4,3,"34y 269d",161
396,4,3,"29y 100d",15
397,4,3,"33y 210d",66
398,4,3,"17y 114d",205
399,4,5,"31y 247d",123
400,4,5,"27y 62d",69
401,4,5,"25y 45d",206
402,4,5,"31y 60d",71
403,4,5,"20y 167d",165
404,4,5,"35y 109d",35
405,4,5,"23y 65d",207
406,4,5,"36y 353d",208
407,4,5,"19y 92d",109
408,4,5,"32y 91d",209
409,4,5,"32y 355d",210
410,4,5,"20y 27d",58
411,4,5,"18y 294d",211
412,4,5,"23y 254d",10
413,4,5,"24y 309d",77
414,4,5,"30y 243d",111
415,4,5,"29y 107d",130
416,4,5,"23y 141d",169
417,4,5,"35y 287d",92
418,4,5,"34y 43d",30
