Player_batting_id,Player_Id,Name,matches,innings,not_out,runs,high_score,high_score_return,average,ball_faced,strike_rate,hundreds,fifties,zeros,fours,sixes,Season_Id,Team_Id,high_score_description
53,329,"Tom Lammonby",3,3,0,4,3,No,1.33,6,66.66,0,0,1,0,0,7,6,NULL
54,184,"Liam Livingstone",4,4,0,39,24,No,9.75,35,111.42,0,0,1,4,2,7,3,NULL
55,253,"Saqib Mahmood",2,2,2,11,11,Yes,NULL,11,100,0,0,0,0,1,7,3,NULL
56,22,"Mir Hamza",4,1,1,1,1,Yes,NULL,2,50,0,0,0,0,0,7,6,NULL
57,59,"Mohammad Hafeez",13,13,2,323,69,No,29.36,251,128.68,0,1,1,27,8,7,2,NULL
58,279,"Mohammad Haris",5,5,0,166,70,No,33.2,89,186.51,0,1,0,19,9,7,3,NULL
59,211,"Mohammad Hasnain",3,1,1,0,0,Yes,NULL,0,NULL,0,0,0,0,0,7,5,NULL
60,218,"Mohammad Ilyas",3,1,0,7,7,No,7,10,70,0,0,0,1,0,7,6,NULL
61,198,"Mohammad Imran",3,1,1,0,0,Yes,NULL,0,NULL,0,0,0,0,0,7,6,NULL
62,10,"Mohammad Irfan",2,1,0,0,0,No,0,1,0,0,0,1,0,0,7,5,NULL
63,76,"Mohammad Nabi",9,9,1,129,47,Yes,16.12,111,116.21,0,0,1,11,3,7,6,NULL
64,77,"Mohammad Nawaz",5,4,2,78,47,No,39,38,205.26,0,0,0,4,7,7,5,NULL
65,312,"Mohammad Rizwan",12,12,4,546,83,Yes,68.25,431,126.68,0,7,1,47,9,7,1,NULL
66,141,"Mohammad Taha",5,2,0,6,6,No,3,11,54.54,0,0,1,0,0,7,6,NULL
67,315,"Mohammad Umar",6,2,0,3,3,No,1.5,10,30,0,0,1,0,0,7,3,NULL
68,270,"Mohammad Wasim",8,4,1,32,12,Yes,10.66,28,114.28,0,0,0,2,2,7,4,NULL
69,326,"Mubasir Khan",7,3,0,36,21,No,12,33,109.09,0,0,0,2,1,7,4,NULL
70,271,"Muhammad Akhlaq",2,2,0,2,2,No,1,8,25,0,0,1,0,0,7,4,NULL
71,172,"Muhammad Musa",2,2,2,32,26,Yes,NULL,26,123.07,0,0,0,3,2,7,4,NULL
72,185,"Colin Munro",3,3,1,165,72,Yes,82.5,117,141.02,0,2,0,8,9,7,4,NULL
73,317,"Blessing Muzarabani",4,1,0,0,0,No,0,2,0,0,0,1,0,0,7,1,NULL
74,212,"Naseem Shah",10,4,1,8,5,Yes,2.66,13,61.53,0,0,1,1,0,7,5,NULL
75,173,"Nasir Nawaz",1,1,0,14,14,No,14,17,82.35,0,0,0,0,0,7,4,NULL
76,281,"Noor Ahmad",4,3,1,21,13,Yes,10.5,13,161.53,0,0,1,2,1,7,5,NULL
77,121,"Samit Patel",5,3,1,58,26,Yes,29,47,123.4,0,0,0,6,1,7,2,NULL
78,282,"Qasim Akram",5,4,1,99,51,Yes,33,64,154.68,0,1,0,9,4,7,6,NULL
79,318,"Rahmanullah Gurbaz",6,6,1,139,46,No,27.8,77,180.51,0,0,0,9,12,7,4,NULL
80,167,"Rashid Khan",9,5,4,55,22,Yes,55,25,220,0,0,1,2,6,7,2,NULL
81,135,"Rohail Nazir",3,3,0,47,21,No,15.66,36,130.55,0,0,0,7,0,7,6,NULL
82,130,"Rilee Rossouw",11,10,3,275,71,No,39.28,164,167.68,0,3,1,25,14,7,1,NULL
83,112,"Jason Roy",6,6,0,303,116,No,50.5,178,170.22,1,2,1,41,10,7,5,NULL
84,12,"Rumman Raees",6,1,0,6,6,No,6,7,85.71,0,0,0,1,0,7,1,NULL
85,234,"Sherfane Rutherford",9,9,2,160,70,Yes,22.85,113,141.59,0,1,1,16,8,7,3,NULL
86,137,"Sahibzada Farhan",5,5,1,51,25,No,12.75,50,102,0,0,1,6,1,7,6,NULL
87,150,"Salman Irshad",8,2,1,3,2,No,3,6,50,0,0,0,0,0,7,3,NULL
88,159,"Sameen Gul",1,NULL," ",NULL,NULL,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,3,NULL
89,20,"Iftikhar Ahmed",10,7,3,152,50,Yes,38,132,115.15,0,1,0,14,2,7,5,NULL
90,91,"Shadab Khan",9,8,0,268,91,No,33.5,165,162.42,0,2,0,17,18,7,4,NULL
91,151,"Shaheen Shah",13,5,2,44,39,Yes,14.66,28,157.14,0,0,1,3,4,7,2,NULL
92,62,"Shahid Afridi",3,1,0,4,4,No,4,8,50,0,0,0,0,0,7,5,NULL
